Agency,Indicator,hour,sample_count
Environment Canterbury,BDISC,11,2115
Environment Canterbury,BDISC,12,1732
Environment Canterbury,BDISC,13,928
Environment Canterbury,BDISC,14,290
Environment Canterbury,BDISC,15,94
Environment Canterbury,BDISC,16,30
Environment Canterbury,BDISC,17,6
Environment Canterbury,DIN,6,24
Environment Canterbury,DIN,7,440
Environment Canterbury,DIN,8,1600
Environment Canterbury,DIN,9,2960
Environment Canterbury,DIN,10,3789
Environment Canterbury,DIN,11,3501
Environment Canterbury,DIN,12,2940
Environment Canterbury,DIN,13,1727
Environment Canterbury,DIN,14,567
Environment Canterbury,DIN,15,158
Environment Canterbury,DIN,16,47
Environment Canterbury,DIN,17,7
Environment Canterbury,DRP,6,25
Environment Canterbury,DRP,7,446
Environment Canterbury,DRP,8,1604
Environment Canterbury,DRP,9,2966
Environment Canterbury,DRP,10,3797
Environment Canterbury,DRP,11,3506
Environment Canterbury,DRP,12,2948
Environment Canterbury,DRP,13,1731
Environment Canterbury,DRP,14,574
Environment Canterbury,DRP,15,163
Environment Canterbury,DRP,16,50
Environment Canterbury,DRP,17,7
Environment Canterbury,ECOLI,6,25
Environment Canterbury,ECOLI,7,446
Environment Canterbury,ECOLI,8,1600
Environment Canterbury,ECOLI,9,2935
Environment Canterbury,ECOLI,10,3703
Environment Canterbury,ECOLI,11,3394
Environment Canterbury,ECOLI,12,2854
Environment Canterbury,ECOLI,13,1694
Environment Canterbury,ECOLI,14,566
Environment Canterbury,ECOLI,15,162
Environment Canterbury,ECOLI,16,50
Environment Canterbury,ECOLI,17,7
Environment Canterbury,NH4,6,25
Environment Canterbury,NH4,7,445
Environment Canterbury,NH4,8,1604
Environment Canterbury,NH4,9,2967
Environment Canterbury,NH4,10,3796
Environment Canterbury,NH4,11,3507
Environment Canterbury,NH4,12,2947
Environment Canterbury,NH4,13,1732
Environment Canterbury,NH4,14,574
Environment Canterbury,NH4,15,163
Environment Canterbury,NH4,16,50
Environment Canterbury,NH4,17,7
Environment Canterbury,NO3N,8,9
Environment Canterbury,NO3N,9,20
Environment Canterbury,NO3N,10,30
Environment Canterbury,NO3N,11,30
Environment Canterbury,NO3N,12,37
Environment Canterbury,NO3N,13,19
Environment Canterbury,NO3N,14,5
Environment Canterbury,NO3N,15,1
Environment Canterbury,NO3N,16,2
Environment Canterbury,PH,6,25
Environment Canterbury,PH,7,442
Environment Canterbury,PH,8,1584
Environment Canterbury,PH,9,2924
Environment Canterbury,PH,10,3696
Environment Canterbury,PH,11,3374
Environment Canterbury,PH,12,2854
Environment Canterbury,PH,13,1668
Environment Canterbury,PH,14,552
Environment Canterbury,PH,15,160
Environment Canterbury,PH,16,49
Environment Canterbury,PH,17,7
Environment Canterbury,TN,6,25
Environment Canterbury,TN,7,446
Environment Canterbury,TN,8,1602
Environment Canterbury,TN,9,2967
Environment Canterbury,TN,10,3797
Environment Canterbury,TN,11,3507
Environment Canterbury,TN,12,2949
Environment Canterbury,TN,13,1733
Environment Canterbury,TN,14,574
Environment Canterbury,TN,15,163
Environment Canterbury,TN,16,50
Environment Canterbury,TN,17,7
Environment Canterbury,TON,6,25
Environment Canterbury,TON,7,446
Environment Canterbury,TON,8,1604
Environment Canterbury,TON,9,2967
Environment Canterbury,TON,10,3797
Environment Canterbury,TON,11,3507
Environment Canterbury,TON,12,2949
Environment Canterbury,TON,13,1732
Environment Canterbury,TON,14,574
Environment Canterbury,TON,15,163
Environment Canterbury,TON,16,50
Environment Canterbury,TON,17,7
Environment Canterbury,TP,6,24
Environment Canterbury,TP,7,446
