LFENZID,nzsegment
37534,8159188
37530,8158988
37530,8159217
34222,8167237
34222,8167571
37609,8169555
38062,8172048
36981,8182050
36981,8182363
36741,8191245
36891,8197420
37032,8202057
36285,8204783
36275,8205234
36275,8205304
36096,8204236
36096,8205356
36314,8206170
36314,8206252
36215,8206802
36215,8207026
36376,8208202
36202,8208358
36343,8210237
36136,8211312
36132,8211541
34118,8214175
35656,8215742
35646,8217588
35646,8217589
35606,8219959
35606,8220073
35406,8222287
35496,8223925
35441,8224320
33732,8227096
25304,8227945
32805,8228618
32805,8228737
33293,8230007
33287,8230344
33287,8230360
32287,8232509
32287,8232524
31983,8233906
33117,8234663
33085,8235323
33085,8235358
26749,8235726
26749,8235733
26735,8236115
26735,8236174
831,9249227
831,9249276
1993,9251397
1993,9251398
4278,9252074
4278,9252180
381,9255900
381,9256151
2549,9259977
2549,9259978
301,9261761
2069,9262398
1726,9263104
1726,9263105
515,9263947
515,9263957
511,9264176
511,9264185
667,9264172
667,9264204
6,9264476
656,9264650
195,9266479
3,9266449
3,9266490
119,9266639
119,9266658
4,9266668
4,9266725
25802,10000012
25802,10000026
25519,10000593
25519,10000596
25009,10005414
25008,10005558
25008,10005573
25002,10006207
25002,10006230
24917,10007255
24917,10007300
24947,10007206
24948,10007755
24948,10007758
24960,10007760
24960,10007821
24955,10008004
24955,10008050
24932,10008738
24932,10008806
25551,10012740
25570,10013196
24882,10015956
24882,10015969
25492,11023257
25492,11023258
28162,11032406
28162,11032407
27994,11037677
27994,11037790
27564,11056943
27564,11056998
24995,12006609
24995,12006621
24916,12007513
24916,12007525
24937,12007673
24937,12007674
24750,12021134
24750,12021135
24805,12023298
24805,12023299
24795,12025040
24795,12025098
24795,12025291
24734,12026466
24734,12026491
24789,12026508
24789,12026653
24724,12028854
24724,12028952
39599,12037914
39599,12037924
39611,12037843
39611,12037951
26887,12038812
26887,12038845
26887,12039007
39950,12040319
39950,12040543
26901,12043997
40004,12044868
40004,12044869
26514,12054246
26514,12054339
26357,12066524
26357,12066546
39837,12071760
39837,12071830
39621,12074051
39621,12074060
39653,12074607
39653,12074640
39226,12078324
39226,12078424
39225,12079700
39225,12079781
38974,12080093
38974,12080094
38665,12081476
38665,12081565
38664,12081640
38664,12081838
39191,12083783
38638,12084800
38638,12084917
38955,12085015
38955,12085016
38637,12086530
38637,12086545
38942,12086621
38614,12086689
38614,12086966
38434,12089034
38434,12089315
38554,12094325
38147,12095797
37701,12099064
37701,12099065
47491,12104849
47491,12104883
48395,12107412
48395,12107431
48393,12108369
48387,12110001
48387,12110017
47095,12109559
47095,12109663
47090,12110153
47090,12110316
46957,12113734
46957,12113917
46964,12113958
46964,12114531
46959,12116268
46959,12116269
47440,12117756
47414,12121345
47414,12121381
46926,12122129
46926,12122362
45686,12123121
45686,12123308
46799,12123338
46799,12123339
45683,12123604
45683,12123619
46918,12124556
46918,12124557
45678,12126259
45678,12126568
46763,12132924
46763,12132925
46775,12134732
46775,12134804
41757,12137948
41757,12137961
46727,12138515
46724,12138939
46724,12139190
46723,12141315
46723,12141333
46407,12143006
46265,12147537
46265,12147566
41687,12152429
46212,12154519
46212,12154571
46320,12155187
46320,12155225
41679,12155319
41679,12155320
46163,12155398
46163,12155501
46160,12158124
46160,12158125
46141,12158897
46140,12160501
46140,12160568
46138,12161988
46138,12162303
46124,12161379
46124,12161778
46132,12163825
45302,12165150
45302,12165203
45356,12166426
45356,12166427
45301,12167697
45341,12168126
45341,12168182
45296,12169490
53966,12175030
53966,12175126
53963,12176652
53963,12176653
54618,12179970
54618,12179971
54486,12181856
54486,12182112
27558,13058515
27558,13058592
27286,13060114
27286,13060551
26477,13061539
26477,13061828
25212,13064949
25212,13065398
25994,13071851
26316,13075938
26316,13075991
39364,13086103
39364,13086104
54738,13085616
54738,13086448
39297,13086951
39297,13087188
39166,13087316
39166,13087404
39357,13088210
39357,13088534
39359,13088835
39356,13088883
39356,13089022
25972,13089086
25972,13089210
25973,13089111
39056,13091714
39056,13091753
48841,13101502
41443,13102112
41443,13102465
48663,13103260
48663,13103261
48491,13104728
48491,13104947
48660,13106107
48660,13106464
48999,13109117
48468,13109302
48468,13109389
48456,13111529
48456,13111720
48216,13112178
48216,13112179
48451,13112262
48451,13112263
48213,13111770
48213,13112330
48217,13113172
48217,13113332
48381,13114622
48381,13114823
41359,13114613
41359,13114759
48597,13115744
48597,13115788
48374,13115990
48374,13116015
48446,13117372
48018,13120008
47892,13122629
47892,13122662
45851,13123137
45835,13123318
47406,13123469
47406,13124535
47877,13126010
47877,13126011
47404,13125536
47404,13125556
47399,13126144
47399,13126376
47860,13128069
47860,13128136
45724,13129171
47859,13129172
47859,13129248
41305,13130951
41305,13131026
46893,13131228
46893,13131237
41298,13132041
41354,13132041
41306,13131697
41306,13131714
46868,13132071
41299,13132364
41299,13132741
41293,13134837
46848,13134934
46860,13134934
41772,13137007
41772,13137111
46835,13137600
46835,13137740
41768,13138647
41768,13138698
46632,13145921
46632,13146015
47227,13149370
47198,13151126
47198,13151138
47193,13151010
47193,13151043
-16,13153653
47228,13154191
47228,13154361
47156,13154066
47156,13154527
46471,13154819
46471,13154829
46484,13156275
46484,13156523
46483,13156859
46534,13161931
46564,13165076
46564,13165107
45542,13166304
45534,13167198
45534,13167337
45534,13167348
45504,13171148
45525,13171174
45525,13171215
45503,13171605
45503,13171606
45514,13171149
45514,13171405
45543,13171942
45501,13171940
45501,13172022
45483,13173012
45483,13173350
7382,13177156
7382,13177539
7409,13188557
7409,13188640
12537,13188958
12537,13189243
7408,13193667
7408,13193843
12307,13195281
12307,13195536
11664,13198079
12451,13198845
12349,13198883
45379,14166229
45379,14166299
45411,14166663
45411,14166772
45362,14169266
45362,14169339
45360,14170915
45360,14171059
53958,14178457
54621,14181149
54621,14181295
54660,14188696
54660,14188718
54333,14191518
54156,14191748
54156,14191804
54128,14192406
54736,14192731
54736,14192804
54177,14193351
54177,14193406
11457,14194274
54672,14196259
54672,14196495
54311,14196679
54311,14196797
45924,14196271
45924,14196364
49725,14197037
49725,14197144
54144,14201710
54144,14201733
54094,14201183
54094,14201484
54088,14202659
54088,14202916
54132,14204111
54132,14204355
54141,14205026
54141,14205372
6914,14209202
6914,14209255
11614,14209618
11614,14209683
54237,14210014
54237,14210139
54050,14210987
54050,14211319
54019,14212289
54019,14212340
8142,14212451
53877,14213530
53877,14213549
11581,14213565
54037,14213552
54037,14213762
54039,14218181
54039,14218182
54181,14218350
54181,14218689
11620,14218111
11620,14218534
54035,14219122
54035,14219145
6867,14219347
11616,14219808
11616,14219991
11476,14219480
11476,14219504
11490,14220322
11490,14220511
53707,14220676
54190,14220298
54190,14220546
53549,14221655
53549,14221656
8558,14221797
10431,14222851
53548,14223037
53532,14223249
53532,14223274
10407,14223294
8104,14223493
10097,14223648
53787,14223697
53730,14225529
53730,14225530
53717,14225903
53717,14226428
6957,14226850
7952,14226935
6937,14227543
10718,14227828
10718,14228298
9959,14228812
10469,14229777
53519,14229755
53519,14229938
50704,14230299
50704,14230446
10706,14230614
50710,14231111
10605,14232237
10605,14232306
54737,14231732
54737,14232172
9645,14232873
50695,14233068
10588,14233137
7901,14234431
7901,14234432
9354,14234889
7738,14235591
9489,14235691
7748,14236265
7748,14236266
7886,14235766
53382,14235713
53382,14236062
9007,14237296
7689,14239361
7689,14239464
7688,14240278
7688,14240279
7777,14240058
7777,14240059
7683,14240971
9071,14241321
9071,14241322
